customer_id,name,age,salary,purchase_date,purchase_amount,city,purchase_year,purchase_month,purchase_day,purchase_weekday,purchase_quarter,purchase_week_of_year,is_weekend,is_month_start,is_month_end,season,age_group,salary_bracket,purchase_amount_log,purchase_amount_sqrt,purchase_amount_squared,purchase_to_salary_ratio,age_salary_interaction,category_Books,category_Clothing,category_Electronics,category_Home,payment_Cash,payment_Credit Card,payment_Debit Card,payment_UPI
C001,Mayurkumar Surani,58,960337,2024-01-07,13561,Pune,2024,1,7,6,1,1,1,0,0,Winter,Senior,Medium,9.515027043243787,116.45170672858342,183900721,0.014121084577601405,55699546,False,True,False,False,False,True,False,False
C002,Rahul Sharma,48,1305889,2024-01-14,36854,Pune,2024,1,14,6,1,2,1,0,0,Winter,Senior,High,10.51474657362339,191.9739565670302,1358217316,0.028221387882124745,62682672,False,True,False,False,False,False,False,True
C003,Priya Patel,34,708261,2024-01-21,74505,Pune,2024,1,21,6,1,3,1,0,0,Winter,Adult,Low,11.21863493803748,272.95604041676745,1256027729,0.1051942716032649,24080874,True,False,False,False,True,False,False,False
C004,Mayurkumar Surani,27,1889673,2024-01-28,62251,Delhi,2024,1,28,6,1,4,1,0,0,Winter,Adult,Very High,11.0389459423249,249.50150300148493,-419780295,0.03294273665337865,51021171,False,False,False,True,True,False,False,False
C005,Rahul Sharma,40,1863715,2024-02-04,32662,Pune,2024,2,4,6,1,5,1,0,0,Winter,Middle-aged,Very High,10.39399821778671,180.72631241742306,1066806244,0.01752521174106556,74548600,False,True,False,False,False,False,False,True
C006,Priya Patel,58,1720405,2024-02-11,18392,Bangalore,2024,2,11,6,1,6,1,0,0,Winter,Senior,Very High,9.819725436430797,135.6171080653175,338265664,0.01069050601457215,99783490,True,False,False,False,True,False,False,False
C007,Mayurkumar Surani,38,771836,2024-02-18,40535,Pune,2024,2,18,6,1,7,1,0,0,Winter,Middle-aged,Low,10.609945747155745,201.33305739495438,1643086225,0.05251763327960862,29329768,False,False,False,True,False,False,False,True
C008,Rahul Sharma,42,1987550,2024-02-25,88603,Mumbai,2024,2,25,6,1,8,1,0,0,Winter,Middle-aged,Very High,11.391932282300951,297.66256062864204,-739442983,0.04457900430177857,83477100,False,False,True,False,False,False,True,False
C009,Priya Patel,30,1489913,2024-03-03,62256,Mumbai,2024,3,3,6,1,9,1,0,0,Summer,Adult,High,11.039026257804146,249.5115227800111,-419157760,0.0417849901302962,44697390,True,False,False,False,False,False,False,True
C010,Mayurkumar Surani,30,702283,2024-03-10,99135,Delhi,2024,3,10,6,1,10,1,0,0,Summer,Adult,Low,11.504247923776541,314.8571104485335,1237813633,0.14116104191615061,21068490,False,True,False,False,False,False,False,True
C011,Rahul Sharma,43,696769,2024-03-17,45222,Mumbai,2024,3,17,6,1,11,1,0,0,Summer,Middle-aged,Low,10.71936108595781,212.65464960823218,2045029284,0.06490242820791396,29961067,False,False,True,False,False,False,False,True
